Country,year,GiftAmount
ISLE OF MAN,2017,2000000
ISRAEL,2012,2100342
ISRAEL,2013,4558104
ISRAEL,2014,4018853
ISRAEL,2015,9246764
ISRAEL,2016,9967187
ISRAEL,2017,10792191
ITALY,2012,9480249
ITALY,2013,8631290
ITALY,2014,10563048
ITALY,2015,4706179
ITALY,2016,8466224
ITALY,2017,15406848
JAMAICA,2016,50
JAMAICA,2017,175
JAPAN,2012,40721261
JAPAN,2013,37367013
JAPAN,2014,52856674
JAPAN,2015,64368825
JAPAN,2016,69512920
JAPAN,2017,60835419
JERSEY,2016,1000000
JORDAN,2013,143618
JORDAN,2014,1627206
JORDAN,2015,229312
JORDAN,2016,250000
JORDAN,2017,270000
KAZAKHSTAN,2012,1775028
KAZAKHSTAN,2013,8334710
KAZAKHSTAN,2014,11208031
KAZAKHSTAN,2015,10781916
KAZAKHSTAN,2016,8752562
KAZAKHSTAN,2017,15685529
KENYA,2012,2060665
KENYA,2013,2026155
KENYA,2014,2111578
KENYA,2015,1163528
KENYA,2016,2082884
KENYA,2017,1320052
KOREA,2012,10746173
KOREA,2013,10351936
KOREA,2014,14257058
KOREA,2015,13459909
KOREA,2016,17491158
KOREA,2017,16987173
KUWAIT,2012,7180290
KUWAIT,2013,8776599
KUWAIT,2014,18806448
KUWAIT,2015,12514541
KUWAIT,2016,8096603
KUWAIT,2017,5813049
LATVIA,2015,50
LEBANON,2014,1129946
LEBANON,2015,4338
LEBANON,2016,418379
LEBANON,2017,1674802
LESOTHO,2017,8896
LIBERIA,2017,1170
LIBYA,2012,2210000
LIECHTENSTEIN,2012,1050000
LIECHTENSTEIN,2013,1549925
LIECHTENSTEIN,2014,159965
LIECHTENSTEIN,2015,1311247
LIECHTENSTEIN,2016,740000
LIECHTENSTEIN,2017,2673692
LITHUANIA,2012,2000000
LITHUANIA,2015,149946
LUXEMBOURG,2013,457214
LUXEMBOURG,2014,345000
LUXEMBOURG,2015,800
LUXEMBOURG,2016,6080
LUXEMBOURG,2017,9508
MALAWI,2014,613686
MALAWI,2015,362929
MALAWI,2016,12025
MALAWI,2017,1234016
MALAYSIA,2012,16127622
MALAYSIA,2013,11539462
MALAYSIA,2014,4888565
MALAYSIA,2015,11590916
MALAYSIA,2016,10511270
MALAYSIA,2017,8204831
MALI,2017,14147
MALTA,2015,250
MALTA,2016,45
MALTA,2017,74805
MAURITIUS,2016,75000
MAURITIUS,2017,750000
MEXICO,2012,6640696
MEXICO,2013,1620000
MEXICO,2014,12214761
MEXICO,2015,10436712
MEXICO,2016,14474839
MEXICO,2017,15910603
MONACO,2012,1151264
MONACO,2013,1438122
MONACO,2014,2289598
MONACO,2015,1939544
MONACO,2016,1776621
MONACO,2017,2428057
MOROCCO,2012,300000
MOROCCO,2013,5054795
MOROCCO,2014,275000
MOZAMBIQUE,2017,272305
NAMIBIA,2017,180200
NEPAL,2017,27744
NEW ZEALAND,2012,2000050
NEW ZEALAND,2014,306813
NEW ZEALAND,2015,36977
NEW ZEALAND,2016,15203
NEW ZEALAND,2017,1233992
NIGERIA,2012,1931534
NIGERIA,2013,4295539
NIGERIA,2014,1340047
NIGERIA,2015,2874775
NIGERIA,2016,1532890
NIGERIA,2017,3057560
NORWAY,2012,3501519
NORWAY,2013,6004115
NORWAY,2014,6657303
NORWAY,2015,7969641
NORWAY,2016,10567874
NORWAY,2017,10820838
OMAN,2013,1000000
OMAN,2015,1184622
OMAN,2017,203230
PAKISTAN,2013,3094886
PAKISTAN,2014,25000
PAKISTAN,2015,173779
PAKISTAN,2016,31016
PAKISTAN,2017,1284210
PALESTINE STATE OF,2017,275000
PANAMA,2013,978226
PANAMA,2014,4549279
PANAMA,2015,2900400
PANAMA,2016,4341431
PANAMA,2017,1482109
PAPUA NEW GUINEA,2017,369728
PERU,2012,311017
PERU,2013,1379058
PERU,2014,2491390
PERU,2015,5984704
PERU,2016,3404644
PERU,2017,1288537
PHILIPPINES,2012,300000
PHILIPPINES,2015,4546993
PHILIPPINES,2016,4682565
PHILIPPINES,2017,5187375
POLAND,2013,680000
POLAND,2014,1528500
POLAND,2016,150
POLAND,2017,1054
PORTUGAL,2012,4607993
PORTUGAL,2013,17169559
PORTUGAL,2014,2788169
PORTUGAL,2015,1430005
PORTUGAL,2016,810206
PORTUGAL,2017,812416
PUERTO RICO,2016,640000
PUERTO RICO,2017,804103
QATAR,2012,125177977
QATAR,2013,105712305
QATAR,2014,148093242
QATAR,2015,303798082
QATAR,2016,363934098
QATAR,2017,250418305
ROMANIA,2017,440000
RUSSIA,2012,34400720
RUSSIA,2013,2625000
RUSSIA,2014,22206000
RUSSIA,2015,27654500
RUSSIA,2016,10267051
RUSSIA,2017,551
RWANDA,2016,408157
RWANDA,2017,1838020
SAUDI ARABIA,2012,99131430
SAUDI ARABIA,2013,67394954
SAUDI ARABIA,2014,127698561
SAUDI ARABIA,2015,93225195
SAUDI ARABIA,2016,82531174
SAUDI ARABIA,2017,98678107
SCOTLAND,2012,417884
SCOTLAND,2013,630389
SCOTLAND,2014,1483143
SCOTLAND,2015,716717
SCOTLAND,2016,1525172
SCOTLAND,2017,1203393
SENEGAL,2017,43482
SERBIA,2016,10025
SERBIA,2017,340576
SINGAPORE,2012,40402839
SINGAPORE,2013,26620741
SINGAPORE,2014,18473897
SINGAPORE,2015,36971272
SINGAPORE,2016,73686888
SINGAPORE,2017,36724804
SLOVAKIA,2017,20
SLOVENIA,2016,75
SLOVENIA,2017,40
SOUTH AFRICA,2012,3285292
SOUTH AFRICA,2013,5438512
SOUTH AFRICA,2014,4581178
SOUTH AFRICA,2015,6002164
SOUTH AFRICA,2016,5134890
SOUTH AFRICA,2017,6653078
SOUTH KOREA,2012,6715954
SOUTH KOREA,2013,18981667
SOUTH KOREA,2014,12307524
SOUTH KOREA,2015,12635573
SOUTH KOREA,2016,14023271
SOUTH KOREA,2017,21167736
SPAIN,2012,10158615
SPAIN,2013,21327454
SPAIN,2014,1445971
SPAIN,2015,17038483
SPAIN,2016,10311328
SPAIN,2017,12222288
SWAZILAND,2014,4105979
SWAZILAND,2016,260000
SWAZILAND,2017,117118
SWEDEN,2012,5497960
SWEDEN,2013,19364424
SWEDEN,2014,42383515
SWEDEN,2015,36077287
SWEDEN,2016,20121075
SWEDEN,2017,10180906
SWITZERLAND,2012,56563007
SWITZERLAND,2013,34424114
SWITZERLAND,2014,54300571
SWITZERLAND,2015,56480607
SWITZERLAND,2016,58200367
SWITZERLAND,2017,80447822
SYRIAN ARAB REPUBLIC,2017,506156
TAIWAN,2012,10404201
TAIWAN,2013,8309044
TAIWAN,2014,19415601
TAIWAN,2015,12689326
TAIWAN,2016,15186627
TAIWAN,2017,14960513
TANZANIA,2013,2032728
TANZANIA,2014,1000951
TANZANIA,2015,551159
TANZANIA,2016,3558354
TANZANIA,2017,1741108
THAILAND,2012,900000
THAILAND,2013,2432898
THAILAND,2014,16824582
THAILAND,2015,14783624
THAILAND,2016,2941255
THAILAND,2017,73090331
THE NETHERLANDS,2012,4702811
THE NETHERLANDS,2013,8746364
THE NETHERLANDS,2014,9245909
THE NETHERLANDS,2015,7961823
THE NETHERLANDS,2016,16908959
THE NETHERLANDS,2017,16471709
TOKELAU,2017,6000
TRINIDAD,2012,428479
TRINIDAD,2015,322174
TRINIDAD,2016,115850
TRINIDAD,2017,120645
TUNISIA,2013,705405
TUNISIA,2017,328296
TURKEY,2012,82500
TURKEY,2013,1124966
TURKEY,2014,7950258
TURKEY,2015,4578302
TURKEY,2016,10261349
TURKEY,2017,7132922
UGANDA,2012,287746
UGANDA,2014,272927
UGANDA,2015,365869
UGANDA,2016,100121
UGANDA,2017,688440
UNITED ARAB EMIRATES,2012,28102567
UNITED ARAB EMIRATES,2013,41154897
UNITED ARAB EMIRATES,2014,70856539
UNITED ARAB EMIRATES,2015,34463877
UNITED ARAB EMIRATES,2016,30044743
UNITED ARAB EMIRATES,2017,6380904
UNITED NATIONS,2012,2103679
UNITED NATIONS,2013,1009470
UNITED NATIONS,2014,5279127
UNITED NATIONS,2015,2035698
UNITED NATIONS,2016,4363869
UNITED NATIONS,2017,1979815
URUGUAY,2013,265307
URUGUAY,2015,265307
URUGUAY,2016,515317
USA,2017,3783980
VENEZUELA,2014,3000000
VENEZUELA,2015,23542
VENEZUELA,2016,37590
VENEZUELA,2017,250000
VIETNAM,2012,397966
VIETNAM,2013,1441958
VIETNAM,2014,3509690
VIETNAM,2015,2137018
VIETNAM,2016,2630718
VIETNAM,2017,1063818
VIRGIN ISLANDS (BRITISH),2016,4100000
VIRGIN ISLANDS (BRITISH),2017,1010000
WALES,2015,115000
WALES,2017,1338000
ZAMBIA,2014,1158719
ZAMBIA,2015,3329330
ZAMBIA,2016,2040085
ZAMBIA,2017,1785427
ZIMBABWE,2012,32077
